Waktu(s),Raw_Ticks,Ticks_Bersih,Speed_Revisi,Kecepatan_Final_m_s
0.055406808853149414,218,0,0.0,0.0
0.1565709114074707,218,0,0.0,0.0
0.2589247226715088,219,1,0.0,0.0
0.36097216606140137,221,3,0.0,0.0
0.4614882469177246,222,4,0.0,0.0
0.5639309883117676,224,6,0.0,0.0
0.6660177707672119,225,7,0.0,0.0
0.7669334411621094,226,8,0.0,0.0
0.86895751953125,228,10,0.0,0.0
0.9704899787902832,229,11,0.0,0.0
1.0723998546600342,231,13,12.782781606619315,0.406641528123504
1.1737432479858398,232,14,13.763646037695162,0.4378444558906601
1.2760281562805176,234,16,14.747762621128114,0.46915084002943247
1.3777985572814941,235,17,13.768328714601282,0.4379934196257385
1.47955322265625,237,19,14.73383365253155,0.46870773638817503
1.580749750137329,238,20,13.76843202112526,0.4379967059779636
1.6829988956451416,240,22,14.749536282495392,0.4692072631453832
1.784245491027832,241,23,14.744738354352418,0.4690546330769108
1.8858323097229004,243,25,14.751078642802177,0.4692563281901731
1.9879748821258545,244,26,14.742233472778052,0.46897494863087125
2.0891270637512207,246,28,14.75321980751152,0.4693244421982322
2.191941261291504,247,29,14.731908532507601,0.46864649512062856
2.293180465698242,249,31,14.747053967352093,0.46912829657502164
2.3954274654388428,250,32,14.74014729707409,0.468908583914466
2.496917247772217,252,34,14.743985072884985,0.4690306699414642
2.59971022605896,253,35,14.720885014144223,0.4682958186802002
2.6997416019439697,255,37,14.75299493871303,0.4693172887480162
2.801907777786255,256,38,14.739663830699433,0.46889320404555823
2.9044435024261475,258,40,14.7259328264322,0.46845639797863714
3.0055153369903564,259,41,14.741428636365553,0.4689493454469368
3.1067066192626953,260,42,13.758138048442868,0.43766923759816573
3.2079310417175293,262,44,14.763928032534139,0.4696650886334677
3.310122489929199,263,45,13.766763164878776,0.4379436168870933
3.4122345447540283,265,47,14.752060941690557,0.46928757675041116
3.5133347511291504,267,49,14.757715161790632,0.4694674468892118
3.615947723388672,268,50,14.760329194124731,0.4695506036023291
3.716120481491089,270,52,14.75827597547456,0.46948528730458017
3.8182809352874756,271,53,14.758359062608346,0.46948793044439824
3.9204845428466797,273,55,14.763183181844314,0.46964139369506885
4.022204637527466,274,56,14.75376990008217,0.4693419415571685
4.124847650527954,276,58,15.714915231455278,0.4999175719892759
4.227843284606934,277,59,14.70714770273284,0.4678588119725412
4.3280956745147705,279,61,15.717506357020383,0.5
4.430369853973389,280,62,14.732815829264403,0.46867535773840624
4.531921148300171,282,64,14.726291301023041,0.46846780165116314
4.6329665184021,283,65,14.748989963161845,0.46918988381939036
4.735570192337036,285,67,14.713820446869207,0.4680710830537419
4.8369550704956055,286,68,14.725022930846558,0.4684274526877948
4.938408851623535,288,70,14.735869721024835,0.46877250711092955
5.039651393890381,289,71,14.74278620103991,0.4689925318355255
5.141203165054321,291,73,14.758615253826969,0.46949608031285717
5.243274211883545,291,73,13.787249948697191,0.4385953355297667
5.345526218414307,291,73,11.794416898481586,0.3752000040774118
5.447138547897339,291,73,10.81858643537539,0.3441572151979172
5.54897403717041,290,72,7.865864290387636,0.2502262162876196
5.651830434799194,290,72,6.870397397871731,0.21855875995249713
5.7509942054748535,290,72,4.924051367023738,0.15664225784850283
5.852968692779541,290,72,3.9369550882676636,0.1252410846491938
5.9560112953186035,290,72,1.9654040852513066,0.06252277048939889
6.057978868484497,290,72,0.9820023763952542,0.03123912769905237
6.160292863845825,290,72,-0.9812678915171632,-0.031215762514352985
6.260167121887207,290,72,-0.9833877197515309,-0.03128319777368154
6.3635008335113525,290,72,-0.9823427668721068,-0.031249956085856248
6.465761184692383,290,72,-0.9817178255004841,-0.031230075662160937
6.566582202911377,290,72,0.0,0.0
6.668116092681885,290,72,0.0,0.0
6.769420623779297,290,72,0.0,0.0
6.871211528778076,290,72,0.0,0.0
6.973303318023682,290,72,0.0,0.0
